タイトル,ソース,URL,日付,記事タイプ,作家名,作品・シリーズ・写真集・展示名,判定ストリートジャンル,一致キーワード,関連度スコア,選んだ理由,自分の撮影に役立ちそうな点
Claudia Andujar – Genocídio do Yanomami,VOID,https://void.photo/genocidio-do-yanomami,不明,写真集 (Photobook),Claudia Andujar,Genocídio do Yanomami,静かな物語 (Silent Stories),"photo book, publisher",23.05,写真集、モノグラフ、ZINE、出版社に関する語があり、作品が編集・順序・出版を通じて形になっている記事です。,"ストリート写真を単発の1枚ではなく、写真集としてどう構成できるかを学ぶ材料になります。 一致キーワード（photo book, publisher）を、記事を読むときの観察メモとして使えます。 特に、不在、痕跡、記憶、静かな人の気配に注目すると撮影へ転用しやすいです。"
Pia Paulina Guilmoth & Jesse Bull Saffire – Fishworm,VOID,https://void.photo/fishworm,不明,写真集 (Photobook),Pia Paulina Guilmoth & Jesse Bull Saffire,Fishworm,静かな物語 (Silent Stories),"photo book, publisher",23.05,写真集、モノグラフ、ZINE、出版社に関する語があり、作品が編集・順序・出版を通じて形になっている記事です。,"ストリート写真を単発の1枚ではなく、写真集としてどう構成できるかを学ぶ材料になります。 一致キーワード（photo book, publisher）を、記事を読むときの観察メモとして使えます。 特に、不在、痕跡、記憶、静かな人の気配に注目すると撮影へ転用しやすいです。"
Joselito Verschaeve – As Long As The Sun Lasts,VOID,https://void.photo/as-long-as-the-sun-lasts,不明,写真集 (Photobook),Joselito Verschaeve,As Long As The Sun Lasts,静かな物語 (Silent Stories),"photo book, publisher",23.05,写真集、モノグラフ、ZINE、出版社に関する語があり、作品が編集・順序・出版を通じて形になっている記事です。,"ストリート写真を単発の1枚ではなく、写真集としてどう構成できるかを学ぶ材料になります。 一致キーワード（photo book, publisher）を、記事を読むときの観察メモとして使えます。 特に、不在、痕跡、記憶、静かな人の気配に注目すると撮影へ転用しやすいです。"
Jeff Mermelstein – What if Jeff were a Butterfly?,VOID,https://void.photo/what-if-jeff-were-a-butterfly,不明,写真集 (Photobook),Jeff Mermelstein,What if Jeff were a Butterfly?,静かな物語 (Silent Stories),"photo book, publisher",23.05,写真集、モノグラフ、ZINE、出版社に関する語があり、作品が編集・順序・出版を通じて形になっている記事です。,"ストリート写真を単発の1枚ではなく、写真集としてどう構成できるかを学ぶ材料になります。 一致キーワード（photo book, publisher）を、記事を読むときの観察メモとして使えます。 特に、不在、痕跡、記憶、静かな人の気配に注目すると撮影へ転用しやすいです。"
Siri Kaur – Sistermoon,VOID,https://void.photo/sistermoon,不明,写真集 (Photobook),Siri Kaur,Sistermoon,静かな物語 (Silent Stories),"photo book, publisher",23.05,写真集、モノグラフ、ZINE、出版社に関する語があり、作品が編集・順序・出版を通じて形になっている記事です。,"ストリート写真を単発の1枚ではなく、写真集としてどう構成できるかを学ぶ材料になります。 一致キーワード（photo book, publisher）を、記事を読むときの観察メモとして使えます。 特に、不在、痕跡、記憶、静かな人の気配に注目すると撮影へ転用しやすいです。"
Raymond Thompson Jr – It’s hard to stop rebels that time travel,VOID,https://void.photo/its-hard-to-stop-rebels-that-time-travel,不明,写真集 (Photobook),Raymond Thompson Jr,It’s hard to stop rebels that time travel,静かな物語 (Silent Stories),"photo book, publisher",23.05,写真集、モノグラフ、ZINE、出版社に関する語があり、作品が編集・順序・出版を通じて形になっている記事です。,"ストリート写真を単発の1枚ではなく、写真集としてどう構成できるかを学ぶ材料になります。 一致キーワード（photo book, publisher）を、記事を読むときの観察メモとして使えます。 特に、不在、痕跡、記憶、静かな人の気配に注目すると撮影へ転用しやすいです。"
JH Engström – Dimma Brume Mist,VOID,https://void.photo/dimma-brume-mist,不明,写真集 (Photobook),JH Engström,Dimma Brume Mist,静かな物語 (Silent Stories),"photo book, publisher",23.05,写真集、モノグラフ、ZINE、出版社に関する語があり、作品が編集・順序・出版を通じて形になっている記事です。,"ストリート写真を単発の1枚ではなく、写真集としてどう構成できるかを学ぶ材料になります。 一致キーワード（photo book, publisher）を、記事を読むときの観察メモとして使えます。 特に、不在、痕跡、記憶、静かな人の気配に注目すると撮影へ転用しやすいです。"
Tehching Hsieh – One Year Performance 1978–1979,VOID,https://void.photo/one-year-performance-1978-1979,不明,写真集 (Photobook),Tehching Hsieh,One Year Performance 1978–1979,静かな物語 (Silent Stories),"photo book, publisher",23.05,写真集、モノグラフ、ZINE、出版社に関する語があり、作品が編集・順序・出版を通じて形になっている記事です。,"ストリート写真を単発の1枚ではなく、写真集としてどう構成できるかを学ぶ材料になります。 一致キーワード（photo book, publisher）を、記事を読むときの観察メモとして使えます。 特に、不在、痕跡、記憶、静かな人の気配に注目すると撮影へ転用しやすいです。"
"Yorgos Lanthimos – Dear God, the Parthenon is still broken",VOID,https://void.photo/dear-god-the-parthenon-is-still-broken,不明,写真集 (Photobook),Yorgos Lanthimos,"Dear God, the Parthenon is still broken",静かな物語 (Silent Stories),"photo book, publisher",23.05,写真集、モノグラフ、ZINE、出版社に関する語があり、作品が編集・順序・出版を通じて形になっている記事です。,"ストリート写真を単発の1枚ではなく、写真集としてどう構成できるかを学ぶ材料になります。 一致キーワード（photo book, publisher）を、記事を読むときの観察メモとして使えます。 特に、不在、痕跡、記憶、静かな人の気配に注目すると撮影へ転用しやすいです。"
András Ladocsi – There is a big river...,VOID,https://void.photo/there-is-a-big-river,不明,写真集 (Photobook),András Ladocsi,There is a big river...,静かな物語 (Silent Stories),"photo book, publisher",23.05,写真集、モノグラフ、ZINE、出版社に関する語があり、作品が編集・順序・出版を通じて形になっている記事です。,"ストリート写真を単発の1枚ではなく、写真集としてどう構成できるかを学ぶ材料になります。 一致キーワード（photo book, publisher）を、記事を読むときの観察メモとして使えます。 特に、不在、痕跡、記憶、静かな人の気配に注目すると撮影へ転用しやすいです。"
